m_id,a_id
758,2038
758,2039
758,1454
759,765
759,1759
759,2040
760,2041
760,2042
760,2043
761,2044
761,2045
761,2046
762,2047
762,2048
762,2049
763,2051
763,2052
763,2053
764,2055
764,2056
764,2057
765,2059
765,1673
765,1380
766,282
766,2061
766,1975
767,1738
767,1376
767,2063
768,693
768,200
768,466
769,2065
769,30
769,3
770,300
770,2067
770,2068
771,2070
771,2071
771,2072
772,2074
772,2075
772,2076
773,2078
773,222
773,2079
774,693
774,11
774,1637
775,129
775,10
775,2080
776,735
776,2024
776,1068
777,2083
777,2084
777,2085
778,85
778,1468
778,714
779,10
779,1647
779,2087
780,207
780,2088
780,2089
781,1176
781,123
781,2091
782,705
782,706
782,707
783,1741
783,756
783,2093
784,2093
784,2094
784,2095
785,1134
785,495
785,2096
786,2098
786,2099
786,2100
787,676
787,2102
787,2103
788,2104
788,2071
788,1071
789,1453
789,349
789,2093
790,2106
790,1435
790,1469
791,2065
791,785
791,86
792,40
792,2107
792,2108
793,2109
793,2110
793,2111
794,2113
794,2114
794,2115
795,2117
795,2118
795,2119
796,1434
796,35
796,2121
797,2122
797,2123
797,2124
798,777
798,1434
798,2125
799,2127
799,139
799,836
800,2129
800,2130
800,2131
801,2133
801,1153
801,2134
802,2136
802,2137
802,718
803,1741
803,742
803,1882
804,431
804,1176
804,2139
805,2140
805,2141
805,2142
806,2143
806,2144
806,727
807,59
807,1795
807,2146
808,537
808,2147
808,139
809,2149
809,2150
809,2151
810,7
810,1115
810,335
811,1034
811,2153
811,2154
812,713
812,772
812,36
813,2157
813,1262
813,2158
814,2159
814,2160
814,2161
815,2162
815,2163
815,805
816,2165
816,2165
816,149
817,2167
817,2168
817,2169
818,1177
818,1136
818,2
819,40
819,1741
819,2171
820,494
820,2173
820,2174
821,1741
821,2175
821,2176
822,478
822,1166
822,2177
823,2178
823,2179
823,2180
824,7
824,372
824,2182
825,1134
825,59
825,2183
826,1846
826,2185
826,2186
827,777
827,2125
827,779
828,777
828,135
828,1117
829,2187
829,157
829,2188
830,2190
830,2191
830,2192
831,2194
831,2195
831,2196
832,2197
832,2198
832,369
833,10
833,1878
833,2199
834,527
834,1492
834,2201
835,2202
835,2203
835,1493
836,1248
836,2204
836,1197
837,2205
837,2206
837,2207
838,1225
838,1248
838,2208
839,358
839,2209
839,1529
840,2211
840,2212
840,2213
841,858
841,2215
841,1913
842,2217
842,2218
842,2219
843,2221
843,2222
843,2223
844,2224
844,2225
844,2226
845,2227
845,2228
845,2229
846,2230
846,2231
846,1223
847,1225
847,1226
847,2232
848,1556
848,360
848,18
849,2234
849,1232
849,2235
850,7
850,2236
850,2237
851,2239
851,2240
851,2241
852,1909
852,1482
852,2243
853,526
853,1228
853,1537
854,44
854,2245
854,2246
